"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2023-2024","Apache","Kindergarten","619","92.6","92.9","90","94.9","95","4.5","0.3","2"
"2023-2024","Cochise","Kindergarten","1,003","90.3","91.6","89.1","94","94.3","6.7","0.2","5.8"
"2023-2024","Coconino","Kindergarten","997","88.4","89.1","86.8","91.9","93.6","7.5","0.5","4.5"
"2023-2024","Gila","Kindergarten","471","84.6","87.7","79.9","87","86.4","7.3","0","5.1"
"2023-2024","Graham","Kindergarten","477","90.1","91.3","91.3","93.2","94.8","6.8","0.7","5.2"
"2023-2024","Greenlee","Kindergarten","158","83.5","83.5","84.2","91.6","92.3","7.3","0.7","6.5"
"2023-2024","La Paz","Kindergarten","120","94.7","94.7","95.2","95.6","95.2","4.4","4.4","4.4"
"2023-2024","Maricopa","Kindergarten","49,022","87.9","88.5","87.5","91.4","92.9","9.4","0.5","5.8"
"2023-2024","Mohave","Kindergarten","1,686","78","78.9","76","82.5","84.8","14.1","0.8","11.4"
"2023-2024","Navajo","Kindergarten","1,032","80.8","82.2","79.7","86.7","86.5","10.8","0.2","9.6"
"2023-2024","Pima","Kindergarten","9,830","93.5","93.9","92.8","95.9","96.5","5.4","0.4","2.7"
"2023-2024","Pinal","Kindergarten","4,265","89.7","90.6","89","93","94.2","6.7","0.8","4.1"
"2023-2024","Santa Cruz","Kindergarten","641","95.8","96.4","96.4","97.7","97.8","2.9","0.6","1.7"
"2023-2024","Yavapai","Kindergarten","1,514","78.7","78.6","75.2","83.1","84.9","21.6","1.6","14.7"
"2023-2024","Yuma","Kindergarten","2,700","94.5","95.1","95.4","97.1","97.6","4.3","0.7","1.5"
"2023-2024","Total","Kindergarten","74,535","88.7","89.3","88.1","92","93.3","8.7","0.6","5.4"
