"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2018-2019","Apache","Kindergarten","544","91.9","92.8","93.4","94.9","95.4","6.1","0","4.4"
"2018-2019","Cochise","Kindergarten","1,301","94.2","95.1","95.5","93.9","97","2.8","0.5","2.3"
"2018-2019","Coconino","Kindergarten","1,102","92.8","93.1","91","93.2","93.9","5.9","0.1","4.8"
"2018-2019","Gila","Kindergarten","591","93.1","92.6","91.4","95.1","95.3","5.9","0.2","3.6"
"2018-2019","Graham","Kindergarten","534","92.5","92.5","92.9","94.8","96.4","5.8","0.2","5.4"
"2018-2019","Greenlee","Kindergarten","159","95.6","96.2","95","98.7","98.7","1.3","0","1.3"
"2018-2019","La Paz","Kindergarten","154","97.4","97.4","96.8","97.4","98.1","1.9","0","1.9"
"2018-2019","Maricopa","Kindergarten","52,867","92.5","93.1","92.7","94.1","95.4","6.5","0.3","4"
"2018-2019","Mohave","Kindergarten","1,856","88.4","90.5","88.4","91.5","91.8","10.3","0.4","7.9"
"2018-2019","Navajo","Kindergarten","1,013","88.5","89.3","88.4","91","92.6","7.8","0.1","5.7"
"2018-2019","Pima","Kindergarten","10,727","95.5","96","95.9","96.5","97.3","3.2","0.3","2.1"
"2018-2019","Pinal","Kindergarten","3,986","91.4","92.1","92.2","94.6","95.3","5.5","0.3","4.3"
"2018-2019","Santa Cruz","Kindergarten","582","96.7","96.9","97.1","98.5","97.8","1.7","0.9","1.2"
"2018-2019","Yavapai","Kindergarten","1,737","84.3","84.5","83.3","88.2","89.5","12.5","0.3","7.7"
"2018-2019","Yuma","Kindergarten","2,828","97.1","97.7","97.3","98.5","98.7","1.3","0","0.7"
"2018-2019","Total","Kindergarten","79,981","92.7","93.3","93","94.4","95.6","5.9","0.3","3.8"
