"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2015-2016","Apache","Kindergarten","858","97.1","96.9","96.2","97.8","99","1","1.5","0.7"
"2015-2016","Cochise","Kindergarten","1,309","96.1","96.3","95.6","96","97.6","2.6","0.4","1.2"
"2015-2016","Coconino","Kindergarten","1,303","92.2","92.8","92.2","93.5","94.6","7.1","0.3","2.5"
"2015-2016","Gila","Kindergarten","616","94.2","94.8","93.7","96.8","96.1","4.4","0.2","2.1"
"2015-2016","Graham","Kindergarten","530","89.6","90.8","88.7","94.2","96","4.2","0","1.7"
"2015-2016","Greenlee","Kindergarten","159","96.9","96.9","95","98.1","98.1","1.9","0","1.9"
"2015-2016","La Paz","Kindergarten","199","96.5","96.5","94.5","99","99.5","0.5","0","0"
"2015-2016","Maricopa","Kindergarten","54,019","93.7","94.3","93.8","95.2","96.6","4.9","0.3","1.9"
"2015-2016","Mohave","Kindergarten","1,831","92.6","93.1","92.9","94.6","95.4","5.2","0.4","2.1"
"2015-2016","Navajo","Kindergarten","1,687","94.7","94.4","94.1","96","96","4.3","0.5","3"
"2015-2016","Pima","Kindergarten","11,362","96.9","96.9","96.8","97.2","98.1","2.6","0.4","1.1"
"2015-2016","Pinal","Kindergarten","4,201","94.4","94.7","94.5","95.9","96.6","4.1","0.3","1.8"
"2015-2016","Santa Cruz","Kindergarten","699","97.7","98.1","98.6","98","99","1.1","0","0.3"
"2015-2016","Yavapai","Kindergarten","1,706","84.1","85.6","83.8","88.1","89.6","13.5","0.2","5.5"
"2015-2016","Yuma","Kindergarten","2,609","98.5","98.4","97.5","98.8","99.1","1.1","0.1","0.3"
"2015-2016","Total","Kindergarten","83,088","94.2","94.6","94.2","95.5","96.7","4.5","0.3","1.8"
