"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt"
"2014-2015","Apache","Kindergarten","997","96.9","95.7","96.3","97.6","96.8","2.2","0.6"
"2014-2015","Cochise","Kindergarten","1,577","96.6","96.7","95.9","97.4","97.7","1.8","0.2"
"2014-2015","Coconino","Kindergarten","1,414","93.9","94.3","94.1","95.7","96.3","5.1","0.7"
"2014-2015","Gila","Kindergarten","694","94.7","94.8","94.7","96.3","96.8","4.2","0.1"
"2014-2015","Graham","Kindergarten","605","91.6","93.1","90.9","95.7","97.9","3.8","0"
"2014-2015","Greenlee","Kindergarten","175","94.3","93.1","94.3","94.3","96.6","3.4","0.6"
"2014-2015","La Paz","Kindergarten","179","92.2","92.2","92.7","94.4","91.6","2.8","0"
"2014-2015","Maricopa","Kindergarten","54,292","93.9","94.3","93.8","95.4","96.4","5.1","0.3"
"2014-2015","Mohave","Kindergarten","1,817","92.1","92.1","91.5","94.3","95.4","5.1","0.1"
"2014-2015","Navajo","Kindergarten","1,239","93.9","93.9","93.6","96.2","96.3","4.5","1.2"
"2014-2015","Pima","Kindergarten","11,704","96.3","96.8","96.7","97.1","98","2.8","0.4"
"2014-2015","Pinal","Kindergarten","4,322","94.1","93.9","93.5","95.1","96","5.6","0.1"
"2014-2015","Santa Cruz","Kindergarten","769","98.3","98.8","98","96.7","99.5","1.2","0.4"
"2014-2015","Yavapai","Kindergarten","1,936","88.4","89.6","87.7","91.1","92.3","10","0.7"
"2014-2015","Yuma","Kindergarten","2,802","98.3","98.4","97.9","99.2","99.4","0.7","0.2"
"2014-2015","Total","Kindergarten","84,651","94.3","94.7","94.2","95.7","96.6","4.6","0.3"
