"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2022-2023","Apache","Kindergarten","673","87.4","87.8","88.3","92.7","93.6","8.5","0.3","5.9"
"2022-2023","Cochise","Kindergarten","1,041","88.7","88.1","86.5","93.1","94.5","5","0.2","2.7"
"2022-2023","Coconino","Kindergarten","1,087","88.7","89.4","87.3","92.9","93.8","6.9","0.1","3.6"
"2022-2023","Gila","Kindergarten","433","86.1","86.6","85.7","89.1","89.8","12.7","0.2","8.8"
"2022-2023","Graham","Kindergarten","601","91.3","92.3","91.3","95","95.2","6.5","0","5.5"
"2022-2023","Greenlee","Kindergarten","161","78.9","75.8","82","94.4","95","3.7","0","1.9"
"2022-2023","La Paz","Kindergarten","149","92.6","93.3","92.6","94.6","92.6","4","0","3.4"
"2022-2023","Maricopa","Kindergarten","52,553","89.3","90.1","89.8","92.6","94","8","0.2","4.8"
"2022-2023","Mohave","Kindergarten","1,799","84.1","84.8","82.8","87","88.9","12.2","0.1","9.1"
"2022-2023","Navajo","Kindergarten","1,093","79.9","78.5","80.5","86.3","86.6","9.3","0","7"
"2022-2023","Pima","Kindergarten","10,034","93.7","94.2","93.7","96.1","96.8","3.4","0.2","2.2"
"2022-2023","Pinal","Kindergarten","4,339","89.5","89.1","90.1","92.9","93.7","6.9","0.2","4.6"
"2022-2023","Santa Cruz","Kindergarten","729","97.3","97.1","97.4","98.5","99","1.2","0","0.7"
"2022-2023","Yavapai","Kindergarten","1,617","78.5","80.7","76.5","85.5","85.8","15.7","0.1","10.4"
"2022-2023","Yuma","Kindergarten","2,628","95.4","96.1","95.7","97.3","97.5","2.5","0.2","1.8"
"2022-2023","Total","Kindergarten","78,937","89.6","90.3","89.9","92.9","94.1","7.3","0.2","4.6"
